#URL http://real-chart.finance.yahoo.com/table.csv?s=NG.L&d=2&e=22&f=2015&g=d&a=11&b=11&c=1995&ignore=.csv
#Downloaded at 22:14 22/03/2015
Date,Open,High,Low,Close,Volume,Adj Close
2015-03-20,890.00,893.40,886.60,889.20,13235200,889.20
2015-03-19,889.60,892.73,883.79,888.30,10891200,888.30
2015-03-18,867.50,881.00,864.94,881.00,11089000,881.00
2015-03-17,850.00,864.58,847.00,864.20,11009400,864.20
2015-03-16,851.00,852.40,847.30,851.20,13882900,851.20
2015-03-13,855.00,855.00,842.60,850.70,9490700,850.70
2015-03-12,854.40,859.00,851.60,855.50,12348100,855.50
2015-03-11,854.60,863.60,851.10,853.40,8176300,853.40
2015-03-10,870.00,874.00,851.60,851.60,9630900,851.60
2015-03-09,862.80,871.60,861.11,868.90,6731200,868.90
2015-03-06,881.60,883.29,864.30,865.50,6714600,865.50
2015-03-05,880.00,881.30,873.70,880.00,10630000,880.00
2015-03-04,885.30,886.40,866.90,872.00,10514100,872.00
2015-03-03,886.90,893.80,882.00,884.50,8903000,884.50
2015-03-02,893.90,895.80,881.15,885.90,8537800,885.90
2015-02-27,890.90,892.72,885.10,886.60,8185300,886.60
2015-02-26,903.00,903.00,889.80,890.30,6291500,890.30
2015-02-25,909.00,910.40,899.30,902.20,6513500,902.20
2015-02-24,898.50,907.78,897.21,906.70,12028800,906.70
2015-02-23,898.90,900.00,889.30,897.50,10540000,897.50
2015-02-20,891.40,906.74,890.87,899.00,13688200,899.00
2015-02-19,874.00,894.50,873.59,891.10,13226900,891.10
2015-02-18,886.00,887.80,868.20,874.00,9192300,874.00
2015-02-17,879.00,882.40,873.60,882.40,6017900,882.40
2015-02-16,887.50,888.19,874.80,879.60,8085500,879.60
2015-02-13,896.90,897.88,882.00,890.20,12520000,890.20
2015-02-12,895.70,900.40,892.40,894.60,6651900,894.60
2015-02-11,897.20,903.60,896.80,898.70,9881100,898.70
2015-02-10,887.90,892.50,884.10,891.80,10589500,891.80
2015-02-09,905.00,905.18,885.70,890.10,14129100,890.10
2015-02-06,918.80,918.80,907.80,909.30,8192600,909.30
2015-02-05,920.20,922.20,911.10,917.00,9879100,917.00
2015-02-04,929.70,931.20,917.40,923.20,13250500,923.20
2015-02-03,934.40,939.40,929.10,930.00,9543400,930.00
